commit,section,operation,samples,p50,p95,p99
9254292ef5c9ffc97e9e00f0f6e9462460260eba,Decomposed (paired),create+close+rename,100,10,70,212
9254292ef5c9ffc97e9e00f0f6e9462460260eba,Decomposed (paired),write+flush,100,93,175,1168
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),protocol,100,3990,4040,2144926
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),stat,100,2125,2238,2295
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),open+close,100,2143,2286,2446
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),readdir,100,2150,2259,2295
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),create_scratch,100,109,172,196
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),seq_read,100,72,257,29625
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),create+close+unlink,100,9,63,972
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),mkdir+rmdir,100,17,73,90
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),create+close+rename,100,20,72,975
336d73e69edc571fb1d46821416675ee1c264ea4,Decomposed (paired),write+flush,100,92,150,930
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),protocol,100,3619,4377,1731112
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),stat,100,1920,2845,10710
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),open+close,100,1961,2677,2769
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),readdir,100,1902,2742,2990
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),create_scratch,100,97,806,1192
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),seq_read,100,51,940,33011
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),create+close+unlink,100,39,842,1202
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),mkdir+rmdir,100,18,737,1610
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),create+close+rename,100,0,745,4525
4758a6f177a46b4eb7eca395b3b464666006dd8b,Decomposed (paired),write+flush,100,58,780,918
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),protocol,100,4008,4539,1724088
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),stat,100,1933,2812,6855
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),open+close,100,1946,2607,2784
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),readdir,100,1922,2773,4326
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),create_scratch,100,101,901,1108
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),seq_read,100,92,879,32198
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),create+close+unlink,100,10,695,770
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),mkdir+rmdir,100,11,699,793
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),create+close+rename,100,13,671,1020
ea37f9cd62f9c154891334c5714e1363acfc625b,Decomposed (paired),write+flush,100,123,785,1311
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),protocol,100,3933,4033,2189249
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),stat,100,2143,2257,2316
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),open+close,100,2150,2249,2494
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),readdir,100,2171,2277,2379
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),create_scratch,100,110,184,206
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),seq_read,100,81,250,29284
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),create+close+unlink,100,4,79,2262
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),mkdir+rmdir,100,12,97,186
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),create+close+rename,100,18,63,129
d5411465d1ec90d09fad0fefa97f4e2604756368,Decomposed (paired),write+flush,100,94,178,1359
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,protocol,100,3964,4043,4298
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,stat,100,2126,2244,2350
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,open+close,100,2168,2287,2442
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,readdir,100,2175,2344,2686
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,create_scratch,100,118,212,7432
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,seq_read,100,85,253,28877
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,create+close+unlink,100,4,75,729
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,mkdir+rmdir,100,12,74,101
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,create+close+rename,100,15,82,104
b6fa755b44db214b0213ea92537810a79ec17f20,Writable mount,write+flush,100,85,164,7788
b6fa755b44db214b0213ea92537810a79ec17f20,Read-only mount,protocol,100,3964,3992,4009
b6fa755b44db214b0213ea92537810a79ec17f20,Read-only mount,stat,100,2130,2303,3434
b6fa755b44db214b0213ea92537810a79ec17f20,Read-only mount,open+close,100,2135,2254,2402
b6fa755b44db214b0213ea92537810a79ec17f20,Read-only mount,readdir,100,2160,2301,2379
b6fa755b44db214b0213ea92537810a79ec17f20,Read-only mount,seq_read,100,73,289,28835
